#OTU_IDs	16S_rRNA_Count
4444931	4.0
184153	5.0
184151	1.0
1089121	3.0
4468234	5.0
4406943	4.0
2342680	1.0
555922	3.0
275365	2.0
555926	2.0
555927	2.0
157470	4.0
104996	6.0
536893	2.0
536890	2.0
775560	2.0
339095	3.0
798250	5.0
339090	3.0
339092	1.0
775567	4.0
4464699	2.0
263575	3.0
147476	4.0
147472	9.0
4375222	2.0
642877	3.0
627615	2.0
4298513	1.0
79249	1.0
111852	3.0
131921	4.0
111856	4.0
1081310	12.0
1122524	3.0
1122525	2.0
1121870	4.0
185201	3.0
648806	4.0
1127097	2.0
156707	4.0
156700	1.0
279179	2.0
180352	4.0
276632	4.0
276631	4.0
4299901	2.0
4347860	3.0
3815513	2.0
4347868	3.0
559122	2.0
676387	3.0
101805	2.0
4450835	2.0
1065387	5.0
741257	3.0
2686724	9.0
4335289	4.0
316888	10.0
593083	3.0
316882	4.0
4342336	3.0
4337669	3.0
1111848	2.0
1111847	2.0
1111846	3.0
4337664	2.0
744558	4.0
181003	1.0
140793	10.0
744553	9.0
181008	2.0
277589	3.0
277588	4.0
277584	3.0
617742	3.0
77606	3.0
4466873	6.0
2715999	2.0
978530	2.0
4302975	8.0
4302976	3.0
202971	6.0
742782	4.0
2792176	2.0
2792170	5.0
4463342	2.0
4463341	2.0
510078	1.0
184980	6.0
184983	1.0
184984	1.0
1908796	3.0
4451932	2.0
4451935	5.0
4451937	4.0
4398116	3.0
854272	3.0
4168885	3.0
1844565	3.0
4326799	4.0
554409	2.0
864465	4.0
229808	4.0
691759	1.0
1939283	3.0
871137	7.0
871135	4.0
18609	2.0
826227	2.0
252268	2.0
4425615	2.0
252267	3.0
314629	5.0
727140	6.0
314620	3.0
202802	4.0
202801	5.0
788498	2.0
352607	2.0
352604	2.0
960145	4.0
407393	3.0
1892589	2.0
557174	3.0
557172	3.0
4442170	6.0
667572	3.0
667570	6.0
159906	1.0
206273	3.0
4335676	3.0
206277	3.0
206278	2.0
4432762	10.0
4432760	2.0
3908327	2.0
217320	4.0
217322	2.0
217325	3.0
217328	3.0
585070	3.0
229434	2.0
229436	3.0
214676	2.0
214670	4.0
3264735	4.0
4444582	2.0
692472	2.0
4444584	7.0
4444585	3.0
4418459	2.0
822216	2.0
2256432	1.0
822212	2.0
4319513	1.0
4319510	2.0
4368029	10.0
4368027	2.0
4319519	1.0
503354	5.0
359924	2.0
634151	3.0
3056493	3.0
635682	2.0
635683	2.0
213370	2.0
81400	3.0
257346	2.0
735002	3.0
4448928	2.0
549097	1.0
1126361	2.0
201728	2.0
96373	9.0
201726	4.0
201724	2.0
19154	8.0
2524279	3.0
573041	2.0
4338948	1.0
573049	3.0
315147	3.0
4318647	2.0
4318649	4.0
4318648	3.0
15865	1.0
2416609	1.0
545892	1.0
4303231	3.0
244063	2.0
4327670	2.0
4424810	2.0
2743763	2.0
305789	3.0
555343	2.0
4364824	3.0
305787	4.0
200891	10.0
200890	2.0
260187	4.0
260189	2.0
153392	2.0
162741	3.0
135946	3.0
518645	2.0
832300	2.0
906051	10.0
849847	5.0
3281329	3.0
1142800	2.0
829745	3.0
4356828	5.0
331717	5.0
331716	4.0
3779654	2.0
553557	2.0
1104450	2.0
1104454	2.0
314898	4.0
152042	3.0
307920	5.0
2298480	2.0
926712	7.0
2654188	3.0
2460736	2.0
59851	1.0
212662	5.0
793646	4.0
4337031	1.0
2922076	3.0
302257	4.0
302250	2.0
2922079	3.0
94786	3.0
236199	2.0
1733	2.0
175646	3.0
34202	5.0
143775	3.0
282928	3.0
148890	4.0
330043	2.0
4377062	6.0
4377065	3.0
778530	1.0
51473	3.0
4333486	1.0
303126	2.0
303122	4.0
73722	5.0
73723	9.0
1108281	3.0
1108285	3.0
77895	1.0
1108289	3.0
262130	9.0
4402900	4.0
4402903	4.0
549293	6.0
214889	3.0
214885	4.0
2545365	4.0
214886	5.0
4474092	1.0
676814	2.0
531067	6.0
230122	2.0
4335737	6.0
807021	4.0
236907	1.0
1522093	2.0
537883	4.0
4344594	1.0
816394	3.0
580362	5.0
26494	2.0
253945	2.0
277876	2.0
4028824	10.0
277873	3.0
4296977	3.0
277870	4.0
253948	3.0
261441	2.0
308860	3.0
713858	6.0
4295903	4.0
4295900	2.0
4295907	2.0
723471	4.0
4295908	2.0
4295909	5.0
823548	9.0
2686252	3.0
4475322	2.0
806775	4.0
886673	6.0
4370301	10.0
4332926	3.0
342292	6.0
1107734	3.0
919014	3.0
928705	2.0
1107738	2.0
2110480	1.0
199226	4.0
199229	6.0
199228	3.0
536754	4.0
297287	1.0
4451482	8.0
104659	3.0
105524	3.0
535226	3.0
890805	2.0
1134896	3.0
320483	3.0
2858609	2.0
1835911	3.0
330831	3.0
330833	3.0
1835918	5.0
834742	2.0
274754	7.0
156722	6.0
4367622	12.0
772177	2.0
198573	4.0
265211	3.0
198577	1.0
15674	2.0
264167	3.0
695452	1.0
264161	2.0
798350	5.0
724120	4.0
4015273	5.0
4409849	1.0
360268	2.0
4409846	10.0
233724	1.0
4452179	2.0
333564	1.0
970951	7.0
269024	1.0
269023	2.0
333568	1.0
4468377	3.0
653874	2.0
4468374	3.0
2907836	3.0
955671	2.0
2907831	3.0
555887	2.0
344430	4.0
555882	4.0
344435	3.0
47512	3.0
589989	4.0
589983	2.0
