Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halonotius
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halonotius
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halogranum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosarcina
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halogeometricum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronomonas
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salinarchaeum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halovivax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halovivax
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronococcus
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobiforma
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronobacterium
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobiforma
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronolimnobius
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopiger
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema
Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Thermodesulfobium
Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
